part_id,hh_id,cont_id,part_age,age,part_gender,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member,cnt_occupation,cnt_household_id
9930,BE109930,993012,45,7,M,M,0,0,0,0,0,0,1,1,4,false,false,Y,5,BE109930
9930,BE109930,993013,45,14,M,M,0,0,0,0,0,0,1,1,4,false,false,Y,5,BE109930
9930,BE109930,993014,45,45,M,F,0,0,0,0,0,0,1,1,5,false,false,Y,6,BE109930
10419,BE1010419,1041901,55,53,F,M,1,0,0,0,0,0,1,2,5,false,false,Y,1,BE1010419
10419,BE1010419,1041902,55,27,F,F,0,0,0,0,0,1,5,2,1,false,false,N,1,104191041902
10419,BE1010419,1041903,55,57,F,F,0,0,0,0,1,0,3,2,1,false,false,N,6,104191041903
10419,BE1010419,1041904,55,32,F,F,0,0,0,0,1,0,5,2,3,false,false,N,1,104191041904
10419,BE1010419,1041905,55,35,F,M,0,0,0,0,1,0,3,2,3,false,false,N,1,104191041905
10504,BE1010504,1050401,26,39,M,M,0,1,0,0,0,0,2,1,3,false,false,N,1,105041050401
10504,BE1010504,1050402,26,52,M,M,0,1,0,0,0,0,2,2,3,false,false,N,6,105041050402
10504,BE1010504,1050403,26,47,M,F,0,1,0,0,0,0,2,2,3,false,false,N,1,105041050403
10504,BE1010504,1050404,26,27,M,M,0,1,0,0,0,0,3,2,1,false,false,N,1,105041050404
10504,BE1010504,1050405,26,32,M,M,0,1,0,0,0,0,4,2,1,false,false,N,1,105041050405
10504,BE1010504,1050406,26,34,M,M,0,1,0,0,0,0,4,2,1,false,false,N,1,105041050406
10504,BE1010504,1050407,26,29,M,M,0,1,0,0,0,0,3,2,2,false,false,N,1,105041050407
10504,BE1010504,1050408,26,54,M,F,1,0,0,0,0,0,1,2,3,false,false,Y,6,BE1010504
10504,BE1010504,1050409,26,57,M,M,1,0,0,0,0,0,1,2,3,false,false,Y,1,BE1010504
10504,BE1010504,1050410,26,23,M,F,1,0,0,0,0,0,1,1,2,false,false,Y,1,BE1010504
10504,BE1010504,1050411,26,25,M,F,1,0,0,0,0,0,1,1,4,false,false,N,1,105041050411
12958,BE1012958,1295801,42,38,F,F,1,0,0,0,0,0,3,1,4,false,false,N,1,129581295801
12958,BE1012958,1295802,42,46,F,M,1,0,0,0,0,0,1,1,5,false,false,Y,1,BE1012958
12958,BE1012958,1295803,42,37,F,F,0,0,0,0,0,1,3,2,2,false,false,N,1,129581295803
19607,BE1019607,1960701,47,48,M,F,1,0,0,0,0,0,1,1,4,false,false,Y,1,BE1019607
19607,BE1019607,1960702,47,15,M,M,1,0,0,0,0,0,1,1,4,false,false,Y,5,BE1019607
19607,BE1019607,1960703,47,13,M,M,1,0,0,0,0,0,1,1,4,false,false,Y,5,BE1019607
19607,BE1019607,1960704,47,24,M,F,0,0,0,1,0,0,2,1,2,false,false,N,6,196071960704
19607,BE1019607,1960705,47,24,M,M,0,0,0,1,0,0,2,1,2,false,false,N,1,196071960705
19607,BE1019607,1960706,47,0,M,M,0,0,0,1,0,0,2,1,2,false,false,N,6,196071960706
19607,BE1019607,1960707,47,46,M,M,0,1,0,0,0,0,2,1,5,false,false,N,1,196071960707
19607,BE1019607,1960708,47,55,M,F,0,1,0,0,0,0,2,1,4,false,false,N,1,196071960708
19607,BE1019607,1960709,47,40,M,F,0,1,0,0,0,0,5,2,2,false,false,N,1,196071960709
19607,BE1019607,1960710,47,40,M,M,0,1,0,0,0,0,5,2,2,false,false,N,1,196071960710
19607,BE1019607,1960711,47,45,M,M,0,1,0,0,0,0,1,1,5,false,false,N,1,196071960711
19607,BE1019607,1960712,47,36,M,M,0,1,0,0,0,0,2,2,4,false,false,N,1,196071960712
19607,BE1019607,1960713,47,49,M,M,0,1,0,0,0,0,2,1,4,false,false,N,1,196071960713
19607,BE1019607,1960714,47,53,M,M,0,1,0,0,0,0,2,2,3,false,false,N,6,196071960714
19607,BE1019607,1960715,47,50,M,M,0,1,0,0,0,0,2,2,4,false,false,N,1,196071960715
19607,BE1019607,1960716,47,30,M,F,0,0,0,1,0,0,3,2,2,false,false,N,1,196071960716
19607,BE1019607,1960717,47,30,M,F,0,0,0,0,1,0,3,1,3,false,false,N,1,196071960717
19607,BE1019607,1960718,47,35,M,M,0,0,0,0,1,0,4,1,3,false,false,N,1,196071960718
19607,BE1019607,1960719,47,55,M,F,1,0,0,0,0,0,2,1,3,false,false,N,1,196071960719
19607,BE1019607,1960720,47,30,M,F,1,0,0,0,0,0,3,1,3,false,false,N,1,196071960720
19607,BE1019607,1960721,47,35,M,F,0,0,0,0,0,1,2,2,2,false,false,N,1,196071960721
19607,BE1019607,1960722,47,40,M,M,0,0,0,0,0,1,2,2,2,false,false,N,1,196071960722
19607,BE1019607,1960723,47,55,M,M,1,0,0,0,0,0,2,1,3,false,false,N,6,196071960723
19607,BE1019607,1960724,47,19,M,F,1,0,0,0,0,0,2,1,3,false,false,N,5,196071960724
19607,BE1019607,1960726,47,35,M,M,0,1,0,0,0,0,3,2,3,false,false,N,6,196071960726
19607,BE1019607,1960727,47,5,M,F,0,1,0,0,0,0,1,2,3,false,false,N,5,196071960727
19607,BE1019607,1960728,47,57,M,F,0,1,0,0,0,0,4,1,4,false,false,N,1,196071960728
19607,BE1019607,1960729,47,33,M,M,0,1,0,0,0,0,1,1,5,false,false,N,1,196071960729
19607,BE1019607,1960730,47,46,M,F,0,1,0,0,0,0,2,2,2,false,false,N,1,196071960730
19607,BE1019607,1960732,47,22,M,F,0,1,0,0,0,0,2,2,4,false,false,N,6,196071960732
19607,BE1019607,1960733,47,71,M,M,0,1,0,0,0,0,3,2,4,false,false,N,2,196071960733
19607,BE1019607,1960736,47,43,M,F,0,1,0,0,0,0,2,2,1,false,false,N,1,196071960736
19607,BE1019607,1960738,47,72,M,M,0,1,0,0,0,0,3,2,4,false,false,N,2,196071960738
19607,BE1019607,1960739,47,35,M,F,0,1,0,0,0,0,3,2,4,false,false,N,1,196071960739
19607,BE1019607,1960740,47,64,M,M,0,1,0,0,0,0,2,2,5,false,false,N,6,196071960740
19607,BE1019607,1960741,47,14,M,M,0,1,0,0,0,0,1,2,5,false,false,N,5,196071960741
19607,BE1019607,1960742,47,48,M,M,0,1,0,0,0,0,2,2,3,false,false,N,1,196071960742
19607,BE1019607,1960743,47,40,M,M,0,1,0,0,0,0,1,1,5,false,false,N,1,196071960743
19607,BE1019607,1960744,47,32,M,M,0,1,0,0,0,0,2,2,2,false,false,N,1,196071960744
19607,BE1019607,1960747,47,37,M,F,0,1,0,0,0,0,3,2,1,false,false,N,1,196071960747
19607,BE1019607,1960748,47,27,M,F,0,1,0,0,0,0,2,2,4,false,false,N,1,196071960748
21748,BE1021748,2174801,53,42,M,M,0,1,0,0,0,0,1,1,2,false,false,N,1,217482174801
21748,BE1021748,2174802,53,54,M,F,0,1,0,0,0,0,2,2,3,false,false,N,6,217482174802
21748,BE1021748,2174803,53,62,M,F,0,1,0,0,0,0,1,2,1,false,false,N,6,217482174803
21748,BE1021748,2174804,53,47,M,F,0,0,0,0,0,1,5,2,1,false,false,N,1,217482174804
21748,BE1021748,2174805,53,47,M,F,0,1,0,0,0,0,1,1,1,false,false,N,1,217482174805
21748,BE1021748,2174806,53,37,M,M,0,1,0,0,0,0,1,2,2,false,false,N,1,217482174806
21748,BE1021748,2174807,53,27,M,F,0,1,0,0,0,0,2,1,3,false,false,N,6,217482174807
21748,BE1021748,2174808,53,37,M,M,0,1,0,0,0,0,2,2,1,false,false,N,1,217482174808
21748,BE1021748,2174809,53,37,M,M,0,1,0,0,0,0,1,1,3,false,false,N,1,217482174809
21748,BE1021748,2174810,53,42,M,M,0,1,0,0,0,0,1,1,3,false,false,N,1,217482174810
21748,BE1021748,2174811,53,27,M,M,0,1,0,0,0,0,2,2,2,false,false,N,1,217482174811
21748,BE1021748,2174812,53,37,M,F,0,1,0,0,0,0,1,1,2,false,false,N,1,217482174812
21748,BE1021748,2174813,53,37,M,F,0,1,0,0,0,0,2,1,1,false,false,N,1,217482174813
21748,BE1021748,2174814,53,37,M,M,0,1,0,0,0,0,2,1,1,false,false,N,1,217482174814
21748,BE1021748,2174815,53,27,M,M,0,1,0,0,0,0,3,2,2,false,false,N,6,217482174815
