part_id,hh_id,part_age,part_gender,part_occupation
1621562,BE101621562,43,F,1
1621788,BE101621788,35,F,1
1623954,BE101623954,28,M,1
1627099,BE101627099,49,F,1
1630521,BE101630521,32,M,1
1630675,BE101630675,47,F,1
1630704,BE101630704,28,M,1
1631056,BE101631056,41,M,1
1647083,BE101647083,50,F,1
1649738,BE101649738,26,M,1
1653677,BE101653677,16,M,5
1654038,BE101654038,47,F,1
1659158,BE101659158,70,F,3
1659735,BE101659735,34,F,1
1661851,BE101661851,49,M,1
1672154,BE101672154,58,F,3
1673852,BE101673852,0,F,6
1674715,BE101674715,43,F,6
1674957,BE101674957,26,F,1
1680353,BE101680353,63,M,2
1681269,BE101681269,26,M,1
1681278,BE101681278,44,M,1
1690648,BE101690648,8,F,5
1692420,BE101692420,51,F,1
1692552,BE101692552,51,M,1
1692657,BE101692657,65,F,4
1693429,BE101693429,24,F,1
1693807,BE101693807,41,M,1
1695775,BE101695775,53,F,1
1696768,BE101696768,77,M,2
1698777,BE101698777,37,F,1
1709030,BE101709030,53,F,1
1722766,BE101722766,0,F,6
1723856,BE101723856,2,M,5
1725215,BE101725215,49,F,1
1725978,BE101725978,2,F,5
1726426,BE101726426,46,M,1
1730744,BE101730744,31,F,4
1742042,BE101742042,34,M,1
1752099,BE101752099,49,M,1
1756238,BE101756238,39,F,1
1760053,BE101760053,33,F,1
1764272,BE101764272,62,M,2
1772799,BE101772799,0,M,6
1773458,BE101773458,3,F,5
1782073,BE101782073,37,M,1
1782328,BE101782328,25,F,1
1783909,BE101783909,46,M,1
1792042,BE101792042,1,M,6
1792225,BE101792225,36,M,1
1792280,BE101792280,21,M,5
1800887,BE101800887,47,F,1
1802415,BE101802415,33,M,4
1806241,BE101806241,34,M,1
1812729,BE101812729,64,M,2
1816406,BE101816406,35,F,1
1831685,BE101831685,47,F,1
1831686,BE101831686,7,M,5
1845479,BE101845479,84,M,2
1847859,BE101847859,35,M,1
1852219,BE101852219,23,M,5
1853372,BE101853372,53,F,1
1853417,BE101853417,77,F,3
1855251,BE101855251,30,M,1
1855531,BE101855531,73,F,3
1855719,BE101855719,23,M,5
1857424,BE101857424,42,F,3
1870264,BE101870264,33,F,1
1872396,BE101872396,36,F,1
1873453,BE101873453,29,M,1
1875588,BE101875588,7,F,5
1879039,BE101879039,1,F,6
1883604,BE101883604,40,F,1
1884589,BE101884589,33,F,1
1884850,BE101884850,14,F,5
1884960,BE101884960,48,F,1
1885217,BE101885217,42,M,1
1885830,BE101885830,63,M,2
1897845,BE101897845,16,M,5
1898184,BE101898184,41,F,1
1898958,BE101898958,68,F,3
1903720,BE101903720,0,F,6
1905662,BE101905662,35,F,1
1907281,BE101907281,42,F,1
1910577,BE101910577,41,F,1
1912031,BE101912031,87,M,2
1912923,BE101912923,18,F,5
1913741,BE101913741,78,F,3
