cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member
2174816,21748,,40,45,F,false,true,false,false,false,false,2,2,2,false,false,N
2174817,21748,,25,30,M,false,true,false,false,false,false,3,1,2,false,false,N
2174818,21748,,20,25,F,false,false,false,false,false,true,3,,3,false,false,N
2225901,22259,55,,,M,true,false,false,false,false,false,1,1,5,false,false,Y
2225902,22259,23,,,M,true,false,false,true,false,false,1,1,5,false,false,Y
2225903,22259,,25,30,F,false,false,false,false,false,true,5,2,1,false,false,N
2225904,22259,,30,35,F,false,false,false,false,false,true,5,2,1,false,false,N
2225905,22259,,25,30,F,false,false,false,false,false,true,5,2,1,false,false,N
2225906,22259,,25,30,M,false,false,false,false,false,true,5,2,1,false,false,N
2225907,22259,,55,60,M,false,false,false,false,false,true,4,2,2,false,false,N
2594601,25946,32,,,F,false,true,false,false,false,false,2,1,4,false,false,N
2594602,25946,25,,,F,false,true,false,false,false,false,2,2,3,false,false,N
2594603,25946,52,,,M,false,true,false,false,false,false,3,2,2,false,false,N
2594604,25946,54,,,F,false,true,false,false,false,false,2,2,2,false,false,N
2594605,25946,50,,,F,false,true,false,false,false,false,3,2,2,false,false,N
2594606,25946,29,,,F,false,true,false,false,false,false,3,2,3,false,false,N
2594607,25946,45,,,F,false,true,false,false,false,false,2,2,3,false,false,N
2594608,25946,20,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594609,25946,22,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594610,25946,18,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594611,25946,18,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594612,25946,18,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594613,25946,18,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594614,25946,18,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594615,25946,19,,,F,true,false,false,false,false,false,2,2,4,false,false,N
2594616,25946,19,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594617,25946,19,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594618,25946,19,,,F,false,true,false,false,false,false,2,2,4,false,false,N
2594619,25946,48,,,F,true,false,false,false,false,false,3,1,2,false,false,N
2594620,25946,29,,,M,true,false,false,false,false,false,1,1,4,false,false,Y
2790201,27902,51,,,M,true,false,false,true,false,false,1,1,5,false,false,Y
2790202,27902,,30,40,M,false,true,false,false,false,false,1,2,5,false,false,N
2790203,27902,50,,,F,false,true,false,false,false,false,1,2,5,false,false,N
