part_id,part_age,part_gender,part_occupation
3156518,34,F,1
3158478,26,F,1
3158840,11,M,5
3175159,58,M,2
3176610,65,F,2
3176717,61,F,2
3177046,37,F,1
3177561,9,M,5
3178343,48,M,1
3188446,28,F,1
3191149,53,M,1
3192158,73,M,1
3192933,70,M,1
3194141,52,F,3
3209918,30,M,1
3222849,35,F,1
3261696,67,F,2
3261917,67,F,2
3262575,54,F,3
3271329,48,M,1
3278391,1,F,NA
3285691,74,M,2
3285840,68,F,2
3286217,62,F,2
3287075,51,F,3
3306379,82,M,2
3314428,98,M,2
3321264,32,F,1
3349833,71,F,2
3349908,77,M,2
3360192,26,M,4
3366354,51,F,1
3383819,26,M,1
3389528,28,M,1
3403328,90,M,2
3405262,30,M,6
3405822,26,F,5
3409379,76,F,2
3417600,35,F,1
3440297,56,F,1
3443764,6,M,5
3447904,46,M,1
3452328,53,F,1
3452661,44,M,1
3454232,28,F,1
3461962,36,M,1
3479273,50,F,1
3492312,42,M,1
3498557,3,M,5
3543257,54,F,3
3552182,54,M,2
3559462,5,M,5
3565380,35,M,1
3568069,5,M,5
3592572,55,M,1
3592587,15,M,5
3600997,47,M,1
3616717,14,M,5
3617502,59,F,4
3617919,20,F,5
3641608,66,M,3
3653290,38,F,1
3656524,57,M,3
3659315,53,M,1
3670252,32,M,1
3672115,22,M,5
3678543,43,F,1
3684105,62,M,2
3693141,73,F,2
3698527,22,F,5
3701809,46,M,1
3705487,60,F,3
3708529,4,F,5
3710727,30,M,1
3711138,46,F,1
3711160,51,M,1
3711420,24,F,4
3713264,67,F,3
3713388,69,F,2
3716103,13,F,5
3724372,52,M,1
3728439,46,F,1
3742581,44,F,1
3743793,22,M,4
3749075,80,F,2
3749554,66,F,3
3755097,38,M,1
3755308,46,M,1
3761748,38,F,1
3774443,4,F,5
3796634,10,M,5
3813745,2,M,6
3817674,38,F,3
3817909,41,F,6
3827763,51,M,1
3844137,65,F,2
3852407,1,F,6
3856731,53,F,1
3861293,66,M,2
3867873,39,F,3
3868567,78,M,2
3873150,61,F,2
3891882,81,F,3
