id,num_contact,age,occupation
773,239,46,1
774,27,1,3
775,226,36,1
776,242,21,5
777,219,47,1
778,14,33,3
779,223,34,1
780,4,64,3
781,109,35,1
782,120,47,1
783,259,7,5
784,17,84,3
785,238,35,1
786,204,23,5
787,228,53,1
788,1,77,3
789,236,30,1
790,14,73,3
791,229,23,5
792,34,42,3
793,108,33,1
794,117,36,1
795,241,29,1
796,234,7,5
797,27,1,3
798,211,40,1
799,133,33,1
800,245,14,5
801,124,48,1
802,108,42,1
803,13,63,3
804,226,16,5
805,155,41,1
806,24,68,3
807,19,0,3
808,109,35,1
809,255,42,1
810,129,41,1
811,35,87,3
812,241,18,5
813,1,78,3
814,239,3,5
815,133,30,1
816,114,43,1
818,238,7,5
819,222,46,1
820,212,5,5
821,219,27,1
822,211,5,5
823,17,85,3
824,24,64,3
825,7,84,3
826,100,47,1
827,18,2,3
828,11,1,3
829,289,7,5
830,230,11,5
831,237,20,5
832,26,41,3
833,229,13,5
834,7,39,3
835,111,37,1
836,123,43,1
837,2,74,3
838,194,31,1
839,141,51,1
840,237,38,1
841,227,54,1
842,245,40,1
843,24,40,3
844,230,6,5
845,117,58,1
846,30,2,3
847,277,3,5
848,42,0,3
849,217,16,5
850,29,54,3
851,3,25,3
852,29,0,3
853,121,28,1
854,126,30,1
855,129,27,1
856,218,5,5
857,229,10,5
858,16,83,3
859,11,64,3
860,241,34,1
861,23,62,3
862,2,67,3
863,15,81,3
864,97,36,1
865,240,43,1
866,131,43,1
867,256,26,1
868,114,27,1
869,245,7,5
870,236,39,1
871,109,38,1
872,2,1,3
873,109,35,1
874,242,6,5
875,13,0,3
877,212,3,5
878,231,8,5
879,110,24,1
880,1,72,3
881,109,23,1
882,116,66,1
883,5,83,3
884,113,35,1
885,118,23,1
886,232,25,1
887,24,60,3
888,216,18,5
889,256,4,5
890,113,56,1
891,237,7,5
892,125,26,1
893,118,26,1
894,135,45,1
895,141,33,1
896,25,75,3
897,113,31,1
898,134,23,1
899,118,46,1
900,15,69,3
901,1,1,3
902,254,0,5
903,11,2,3
904,221,9,5
905,29,71,3
906,254,40,1
907,196,53,1
908,209,46,1
909,224,37,1
910,217,30,1
911,159,49,1
912,17,26,3
913,215,3,5
914,228,38,1
915,227,27,1
916,223,51,1
917,140,28,1
918,143,31,1
919,240,9,5
920,232,8,5
921,246,9,5
922,134,25,1
923,106,27,1
924,197,44,1
925,23,17,3
926,143,44,1
927,110,38,1
928,145,25,1
929,227,40,1
930,31,64,3
931,249,4,5
932,139,37,1
933,14,0,3
934,228,5,5
935,126,34,1
936,8,25,3
937,115,31,1
938,129,30,1
939,218,6,5
940,200,41,1
941,147,25,1
942,265,48,1
943,253,4,5
944,22,1,3
945,161,43,1
946,225,37,1
947,230,48,1
948,142,39,1
949,147,63,1
950,110,61,1
951,234,3,5
952,250,37,1
953,24,68,3
954,245,64,1
955,213,18,5
956,135,53,1
957,6,70,3
958,116,41,1
959,238,42,1
960,17,65,3
961,235,30,1
962,22,76,3
963,14,59,3
964,236,5,5
965,21,69,3
966,212,57,1
967,243,40,1
968,264,6,5
969,205,11,5
970,28,80,3
971,22,67,3
972,20,61,3
973,12,61,3
974,216,53,1
975,241,72,1
976,24,67,3
977,124,42,1
978,31,70,3
979,225,14,5
980,142,57,1
981,206,52,1
982,17,85,3
983,109,74,1
984,9,65,3
985,237,12,5
986,2,65,3
987,108,54,1
988,227,12,5
989,5,75,3
990,122,45,1
991,234,35,1
992,122,40,1
993,208,31,1
994,208,30,1
995,240,7,5
996,19,64,3
997,23,74,3
998,26,79,3
999,113,29,1
1000,221,19,5
1001,31,87,3
1002,241,22,1
1003,18,2,3
1004,7,75,3
1005,5,75,3
1006,235,13,5
1007,218,41,1
1008,9,65,3
1009,131,36,1
1010,31,70,3
1011,114,34,1
1012,223,6,5
1013,14,73,3
1014,33,85,3
1015,228,61,1
1016,261,15,5
1017,265,54,1
1018,230,29,1
1019,16,51,3
1020,243,56,1
1022,141,31,1
1023,119,42,1
1024,226,61,1
1025,238,48,1
1026,236,43,1
1027,125,59,1
1028,15,71,3
1029,31,74,3
1030,35,86,3
1031,228,17,5
1032,127,56,1
1033,25,75,3
1034,10,62,3
1035,228,9,5
1036,156,46,1
1037,237,8,5
1038,20,54,3
1039,241,46,1
1040,24,79,3
1041,21,72,3
1042,226,51,1
1043,14,65,3
1044,229,86,1
1045,36,62,3
1046,114,51,1
1047,143,46,1
1048,25,70,3
1049,133,55,1
1050,27,60,3
1051,20,65,3
1052,227,10,5
1053,112,28,1
1054,4,69,3
1055,216,4,5
1056,122,58,1
1057,17,88,3
1058,235,39,1
1059,144,25,1
1060,236,8,5
1061,7,2,3
1062,119,52,1
1063,149,38,1
1064,254,5,5
1065,114,41,1
1066,247,9,5
1067,105,28,1
1068,15,52,3
1069,2,89,3
1070,134,46,1
1071,111,29,1
1072,19,75,3
1073,118,52,1
1074,134,40,1
1075,26,79,3
1076,126,46,1
1077,129,60,1
1078,20,69,3
1079,139,34,1
1080,135,26,1
1081,123,35,1
1082,247,8,5
1083,210,28,1
