id,num_contact,age,occupation
1589,27,62,3
1590,140,46,1
1591,139,49,1
1592,14,71,3
1593,13,34,3
1594,3,70,3
1595,20,97,3
1596,154,23,1
1597,19,60,3
1598,218,45,1
1599,23,62,3
1600,20,61,3
1601,125,49,1
1602,125,25,1
1603,128,39,1
1604,125,37,1
1605,19,80,3
1606,252,47,1
1607,25,80,3
1608,207,28,1
1609,15,31,3
1610,12,53,3
1611,164,29,1
1612,31,73,3
1613,132,59,1
1614,14,75,3
1615,18,1,3
1616,32,71,3
1617,13,76,3
1618,244,22,5
1619,208,57,1
1620,136,32,1
1621,226,12,5
1622,123,46,1
1623,132,50,1
1624,115,47,1
1625,133,30,1
1626,232,9,5
1627,226,46,1
1628,232,17,5
1629,222,58,1
1630,114,63,1
1631,252,22,1
1632,224,11,5
1633,204,20,5
1634,21,66,3
1635,257,51,1
1636,218,41,1
1637,28,72,3
1638,257,4,5
1639,244,15,5
1640,13,66,3
1641,43,54,3
1642,15,53,3
1643,118,63,1
1644,1,74,3
1645,30,57,3
1646,18,60,3
1647,12,78,3
1648,23,98,3
1649,31,65,3
1650,235,16,5
1651,213,16,5
1652,19,57,3
1653,128,46,1
1654,244,23,5
1655,221,42,1
1656,246,41,1
1658,114,55,1
1659,12,72,3
1660,4,63,3
1661,23,81,3
1662,224,35,1
1663,248,39,1
1664,147,59,1
1665,11,90,3
1666,26,95,3
